transaction_id,amount_inr,currency,payment_method,status,failure_code,failure_category,retry_count,timestamp,customer_reference,subscription_reference
txn_GEN_94676162,3069.54,INR,upi,failed,OTP_EXPIRED,biometric_failure,1,2026-08-18 04:56:23,+919396433758,
txn_GEN_54743095,50441.7,INR,card,failed,FRAUD_SUSPECTED,risk_related,0,2026-08-17 22:14:03,+919817733555,sub_saas_6072
txn_GEN_85017250,9044.47,INR,netbanking,success,,,0,2026-08-14 22:51:16,+919943832590,sub_pro_470
txn_GEN_12446861,14999.7,INR,upi,failed,INSUFFICIENT_FUNDS,customer_related,1,2026-08-14 11:06:18,+918467729242,
txn_GEN_20356922,12079.49,INR,card,failed,3DS_TIMEOUT,three_ds_authentication,0,2026-08-27 02:39:16,+919261436148,sub_saas_3527
txn_GEN_31776452,4052.98,INR,card,failed,INVALID_CARD_DETAILS,payment_method_related,1,2026-08-22 13:43:00,+918764624310,sub_saas_4833
txn_GEN_81673763,3308.4,INR,card,failed,INVALID_CARD_DETAILS,payment_method_related,2,2026-08-18 04:57:50,+918579864877,sub_saas_7256
txn_GEN_77498993,8693.15,INR,upi,success,,,0,2026-08-25 17:04:38,+919597009738,sub_pro_667
txn_GEN_23769360,2743.83,INR,upi,failed,ISSUER_BUSY,transient,0,2026-08-23 20:14:38,+917688536251,
txn_GEN_39801436,14933.3,INR,card,failed,CARD_EXPIRED,payment_method_related,2,2026-08-22 02:59:24,+917228736604,sub_saas_4678
txn_GEN_13783268,4480.36,INR,card,failed,INVALID_CARD_DETAILS,payment_method_related,1,2026-08-25 17:20:38,+917627276995,sub_saas_8685
txn_GEN_70210270,12281.71,INR,netbanking,success,,,0,2026-08-24 15:18:17,+918099184899,sub_pro_640
txn_GEN_66808292,12153.56,INR,card,failed,3DS_TIMEOUT,three_ds_authentication,0,2026-08-26 23:19:04,+917523334661,sub_saas_2816
txn_GEN_77085942,6149.87,INR,netbanking,success,,,0,2026-08-24 06:32:11,+919469810046,sub_pro_461
txn_GEN_42287985,4327.59,INR,upi,failed,NETWORK_ERROR,transient,0,2026-08-26 10:41:11,+919869961166,
txn_GEN_62405812,10461.24,INR,upi,success,,,0,2026-08-24 02:37:46,+918603321558,sub_pro_346
txn_GEN_98195059,2742.04,INR,upi,failed,ISSUER_BUSY,transient,1,2026-08-20 01:05:49,+918513112872,
txn_GEN_74227366,10492.31,INR,card,success,,,0,2026-08-27 02:54:33,+918965718821,sub_pro_423
txn_GEN_51617680,3805.91,INR,card,failed,AUTHENTICATION_FAILED,customer_related,0,2026-08-27 03:01:49,+918087974350,sub_saas_6438
txn_GEN_46670512,1839.75,INR,upi,failed,ISSUER_BUSY,transient,1,2026-08-15 04:47:46,+918888654461,
txn_GEN_59304469,1972.78,INR,upi,failed,ISSUER_BUSY,transient,2,2026-08-26 12:55:01,+918823212172,
txn_GEN_23770458,2362.36,INR,upi,failed,ISSUER_BUSY,transient,2,2026-08-21 10:29:22,+918316389690,
txn_GEN_70012727,2100.33,INR,card,failed,GATEWAY_TIMEOUT,transient,1,2026-08-18 17:55:12,+918179206294,sub_saas_6952
txn_GEN_78865239,1805.8,INR,netbanking,success,,,0,2026-08-16 18:36:05,+919912369511,sub_pro_475
txn_GEN_58607028,4815.42,INR,card,failed,INVALID_CARD_DETAILS,payment_method_related,1,2026-08-21 09:09:10,+919916549321,sub_saas_9674
txn_GEN_59251188,3231.58,INR,netbanking,success,,,0,2026-08-14 06:49:03,+918072073884,sub_pro_496
txn_GEN_85386435,3257.79,INR,upi,failed,OTP_EXPIRED,biometric_failure,1,2026-08-24 15:39:59,+918916728422,
txn_GEN_36867482,3798.9,INR,upi,failed,NETWORK_ERROR,transient,2,2026-08-15 03:26:52,+917741553420,
txn_GEN_99635939,2657.73,INR,upi,failed,OTP_EXPIRED,biometric_failure,1,2026-08-15 05:53:56,+918247096480,
txn_GEN_58518659,15188.47,INR,netbanking,failed,CUSTOMER_ABORTED,customer_related,2,2026-08-24 08:16:19,+917596471620,
