payment_id,order_id,amount,currency,status,method,error_code,error_description,created_at,customer_email,customer_contact,notes
pay_B2B_2772642,order_INV_31544,19663820,INR,failed,netbanking,BANK_UNAVAILABLE,"RTGS / NEFT settlement window closed",2026-08-25 00:13:20,finance@manishagarwalenterprises.com,+917518560332,"{""invoice_no"": ""INV-2026-415"", ""client"": ""Manish Agarwal Ltd""}"
pay_B2B_8773665,order_INV_44735,6107450,INR,failed,netbanking,GATEWAY_TIMEOUT,"Corporate netbanking gateway timed out",2026-08-23 14:03:50,finance@priyapatelenterprises.com,+918306593403,"{""invoice_no"": ""INV-2026-955"", ""client"": ""Priya Patel Ltd""}"
pay_B2B_6499465,order_INV_29441,8334033,INR,captured,netbanking,,,2026-08-27 09:29:26,finance@rohanguptaenterprises.com,+919205292512,"{""invoice_no"": ""INV-2026-131""}"
pay_B2B_7784575,order_INV_69270,2901207,INR,captured,netbanking,,,2026-08-23 16:42:32,finance@divyaguptaenterprises.com,+917437688716,"{""invoice_no"": ""INV-2026-163""}"
pay_B2B_4729376,order_INV_27133,11184579,INR,captured,netbanking,,,2026-08-23 00:59:18,finance@karanboseenterprises.com,+919707107352,"{""invoice_no"": ""INV-2026-932""}"
pay_B2B_2258076,order_INV_12857,5555673,INR,failed,card,ISSUER_BUSY,"Corporate card limit check switch busy",2026-08-27 04:25:49,finance@rohanreddyenterprises.com,+917553155490,"{""invoice_no"": ""INV-2026-143"", ""client"": ""Rohan Reddy Ltd""}"
pay_B2B_8734211,order_INV_16637,7102338,INR,failed,card,ISSUER_BUSY,"Corporate card limit check switch busy",2026-08-25 18:14:17,finance@snehakulkarnienterprises.com,+917126625486,"{""invoice_no"": ""INV-2026-291"", ""client"": ""Sneha Kulkarni Ltd""}"
pay_B2B_5613428,order_INV_46681,4956041,INR,failed,card,CONFIG_ERROR,"Merchant webhook signature mismatch on corporate checkout",2026-08-24 14:41:26,finance@manishiyerenterprises.com,+919659343022,"{""invoice_no"": ""INV-2026-663"", ""client"": ""Manish Iyer Ltd""}"
pay_B2B_9036805,order_INV_17992,13360011,INR,failed,card,3DS_TIMEOUT,"Approver token authorization expired on corporate card",2026-08-26 15:47:27,finance@rohandeshmukhenterprises.com,+918800599868,"{""invoice_no"": ""INV-2026-745"", ""client"": ""Rohan Deshmukh Ltd""}"
pay_B2B_1327658,order_INV_60134,3768578,INR,failed,card,CONFIG_ERROR,"Merchant webhook signature mismatch on corporate checkout",2026-08-23 03:54:59,finance@deepikaraoenterprises.com,+918477615282,"{""invoice_no"": ""INV-2026-284"", ""client"": ""Deepika Rao Ltd""}"
pay_B2B_1437264,order_INV_51795,16365476,INR,failed,card,ISSUER_BUSY,"Corporate card limit check switch busy",2026-08-23 16:08:58,finance@meeraguptaenterprises.com,+917251647421,"{""invoice_no"": ""INV-2026-698"", ""client"": ""Meera Gupta Ltd""}"
pay_B2B_4905100,order_INV_30922,6181115,INR,failed,netbanking,GATEWAY_TIMEOUT,"Corporate netbanking gateway timed out",2026-08-25 00:29:07,finance@priyaguptaenterprises.com,+918144724751,"{""invoice_no"": ""INV-2026-689"", ""client"": ""Priya Gupta Ltd""}"
pay_B2B_7516648,order_INV_56504,5946455,INR,failed,card,3DS_TIMEOUT,"Approver token authorization expired on corporate card",2026-08-23 16:26:12,finance@snehanairenterprises.com,+918365818354,"{""invoice_no"": ""INV-2026-820"", ""client"": ""Sneha Nair Ltd""}"
pay_B2B_6900247,order_INV_84403,3773851,INR,captured,netbanking,,,2026-08-24 23:29:36,finance@siddharthiyerenterprises.com,+919114097693,"{""invoice_no"": ""INV-2026-192""}"
pay_B2B_1942342,order_INV_40490,8878502,INR,failed,netbanking,BANK_UNAVAILABLE,"RTGS / NEFT settlement window closed",2026-08-27 15:10:00,finance@meeraguptaenterprises.com,+919052947074,"{""invoice_no"": ""INV-2026-448"", ""client"": ""Meera Gupta Ltd""}"
