payment_id,order_id,amount,currency,status,method,error_code,error_description,created_at,customer_email,customer_contact,notes
pay_RZP_2867825,order_ORD_126225,739176,INR,failed,card,GATEWAY_TIMEOUT,"Bank network unresponsive during 3DS verification",2026-08-20 22:27:48,rahul.gupta38@outlook.com,+917440213415,"{""customer"": ""Rahul Gupta"", ""campaign"": ""FestiveSale""}"
pay_RZP_8078673,order_ORD_133326,559898,INR,failed,card,3DS_TIMEOUT,"Customer failed to complete 3DS challenge within 180s",2026-08-21 16:12:27,aarav.patel37@outlook.com,+919170484433,"{""customer"": ""Aarav Patel"", ""campaign"": ""FestiveSale""}"
pay_RZP_4698379,order_ORD_571029,275672,INR,captured,card,,,2026-08-23 10:50:02,siddharth.deshmukh10@outlook.com,+919998485882,"{""product"": ""Ecommerce Order #2674""}"
pay_RZP_2556017,order_ORD_498382,250889,INR,failed,card,3DS_TIMEOUT,"Customer failed to complete 3DS challenge within 180s",2026-08-19 15:28:24,priya.joshi54@fintech.org,+918136108454,"{""customer"": ""Priya Joshi"", ""campaign"": ""FestiveSale""}"
pay_RZP_7350753,order_ORD_182627,396692,INR,failed,upi,NETWORK_ERROR,"Gateway connection timed out while contacting acquiring bank",2026-08-21 22:04:06,divya.singhania90@fintech.org,+918553210608,"{""customer"": ""Divya Singhania"", ""campaign"": ""FestiveSale""}"
pay_RZP_4823498,order_ORD_910620,180277,INR,failed,card,AUTHENTICATION_FAILED,"Incorrect OTP entered by customer",2026-08-24 21:12:02,pooja.patel39@gmail.com,+918632629719,"{""customer"": ""Pooja Patel"", ""campaign"": ""FestiveSale""}"
pay_RZP_7210606,order_ORD_472528,376702,INR,failed,card,3DS_TIMEOUT,"Customer failed to complete 3DS challenge within 180s",2026-08-26 22:16:55,karan.deshmukh99@enterprise.co,+919783290795,"{""customer"": ""Karan Deshmukh"", ""campaign"": ""FestiveSale""}"
pay_RZP_3741438,order_ORD_584714,170087,INR,failed,upi,NETWORK_ERROR,"Gateway connection timed out while contacting acquiring bank",2026-08-25 11:03:59,suresh.deshmukh91@enterprise.co,+919392080953,"{""customer"": ""Suresh Deshmukh"", ""campaign"": ""FestiveSale""}"
pay_RZP_1538552,order_ORD_944151,206477,INR,failed,card,AUTHENTICATION_FAILED,"Incorrect OTP entered by customer",2026-08-18 14:17:09,amit.bose44@gmail.com,+917906164396,"{""customer"": ""Amit Bose"", ""campaign"": ""FestiveSale""}"
pay_RZP_9375710,order_ORD_514850,649245,INR,failed,netbanking,BANK_UNAVAILABLE,"Netbanking portal undergoing maintenance window",2026-08-20 06:14:16,manish.iyer43@outlook.com,+918059257080,"{""customer"": ""Manish Iyer"", ""campaign"": ""FestiveSale""}"
pay_RZP_7700828,order_ORD_479580,108876,INR,failed,upi,ISSUER_BUSY,"Issuer switch overloaded during peak UPI traffic",2026-08-20 03:40:24,ananya.iyer75@corporate.in,+917390452952,"{""customer"": ""Ananya Iyer"", ""campaign"": ""FestiveSale""}"
pay_RZP_8082668,order_ORD_725380,406664,INR,failed,upi,NETWORK_ERROR,"Gateway connection timed out while contacting acquiring bank",2026-08-22 09:31:46,rohan.bose58@fintech.org,+919010258946,"{""customer"": ""Rohan Bose"", ""campaign"": ""FestiveSale""}"
pay_RZP_2921859,order_ORD_814825,53302,INR,captured,netbanking,,,2026-08-24 17:30:41,divya.deshmukh92@yahoo.in,+917479112937,"{""product"": ""Ecommerce Order #5315""}"
pay_RZP_9398441,order_ORD_898975,441977,INR,captured,upi,,,2026-08-22 14:37:35,sneha.mehta90@yahoo.in,+919744267175,"{""product"": ""Ecommerce Order #9837""}"
pay_RZP_9897858,order_ORD_100599,205541,INR,failed,card,CARD_EXPIRED,"Card validity expired or month/year invalid",2026-08-18 10:29:36,meera.chopra72@gmail.com,+917480468219,"{""customer"": ""Meera Chopra"", ""campaign"": ""FestiveSale""}"
pay_RZP_1971823,order_ORD_352572,251869,INR,failed,card,3DS_TIMEOUT,"Customer failed to complete 3DS challenge within 180s",2026-08-19 13:21:36,siddharth.patel20@enterprise.co,+919087313121,"{""customer"": ""Siddharth Patel"", ""campaign"": ""FestiveSale""}"
pay_RZP_3154051,order_ORD_791798,615392,INR,captured,netbanking,,,2026-08-23 10:42:34,neha.nair43@fintech.org,+919605301030,"{""product"": ""Ecommerce Order #4295""}"
pay_RZP_6229731,order_ORD_518373,71956,INR,captured,netbanking,,,2026-08-25 04:20:41,deepika.agarwal76@corporate.in,+917519709079,"{""product"": ""Ecommerce Order #4770""}"
pay_RZP_4694634,order_ORD_107540,299465,INR,captured,card,,,2026-08-19 02:59:52,rohan.verma39@gmail.com,+917134917627,"{""product"": ""Ecommerce Order #8953""}"
pay_RZP_4594297,order_ORD_665427,501889,INR,captured,card,,,2026-08-25 18:00:20,vikram.rao41@corporate.in,+918748309234,"{""product"": ""Ecommerce Order #7939""}"
pay_RZP_7897151,order_ORD_589710,250796,INR,captured,upi,,,2026-08-19 17:01:35,aditi.mehta17@corporate.in,+918457293575,"{""product"": ""Ecommerce Order #9786""}"
pay_RZP_8526486,order_ORD_246991,626957,INR,captured,upi,,,2026-08-18 23:28:09,kavita.nair45@corporate.in,+918072910527,"{""product"": ""Ecommerce Order #1828""}"
pay_RZP_1247595,order_ORD_197793,136317,INR,failed,upi,NETWORK_ERROR,"Gateway connection timed out while contacting acquiring bank",2026-08-25 12:27:39,ananya.nair62@corporate.in,+919067418686,"{""customer"": ""Ananya Nair"", ""campaign"": ""FestiveSale""}"
pay_RZP_7358113,order_ORD_102260,630311,INR,failed,card,3DS_TIMEOUT,"Customer failed to complete 3DS challenge within 180s",2026-08-20 17:44:13,suresh.deshmukh68@yahoo.in,+918816803306,"{""customer"": ""Suresh Deshmukh"", ""campaign"": ""FestiveSale""}"
pay_RZP_3597059,order_ORD_299122,102478,INR,captured,netbanking,,,2026-08-27 00:45:49,pooja.reddy17@fintech.org,+919328710672,"{""product"": ""Ecommerce Order #8811""}"
pay_RZP_9436429,order_ORD_994141,121162,INR,captured,netbanking,,,2026-08-19 04:58:05,arjun.nair17@fintech.org,+917344076115,"{""product"": ""Ecommerce Order #4853""}"
pay_RZP_7774229,order_ORD_225710,792683,INR,failed,netbanking,BANK_UNAVAILABLE,"Netbanking portal undergoing maintenance window",2026-08-21 12:04:55,siddharth.gupta84@fintech.org,+917170689150,"{""customer"": ""Siddharth Gupta"", ""campaign"": ""FestiveSale""}"
pay_RZP_9770838,order_ORD_431737,319717,INR,failed,card,CARD_EXPIRED,"Card validity expired or month/year invalid",2026-08-25 06:32:07,rahul.reddy95@enterprise.co,+918349409434,"{""customer"": ""Rahul Reddy"", ""campaign"": ""FestiveSale""}"
pay_RZP_6304573,order_ORD_888387,273408,INR,captured,netbanking,,,2026-08-17 18:34:28,rohan.sharma68@fintech.org,+919418039268,"{""product"": ""Ecommerce Order #5345""}"
pay_RZP_3222252,order_ORD_465962,400695,INR,failed,card,CARD_EXPIRED,"Card validity expired or month/year invalid",2026-08-23 07:08:04,rohan.gupta57@yahoo.in,+917677517496,"{""customer"": ""Rohan Gupta"", ""campaign"": ""FestiveSale""}"
pay_RZP_9874152,order_ORD_108203,282998,INR,failed,card,3DS_TIMEOUT,"Customer failed to complete 3DS challenge within 180s",2026-08-25 00:24:36,divya.singhania94@gmail.com,+917576775951,"{""customer"": ""Divya Singhania"", ""campaign"": ""FestiveSale""}"
pay_RZP_5569244,order_ORD_395442,562162,INR,captured,card,,,2026-08-21 08:33:08,meera.reddy53@outlook.com,+919952777682,"{""product"": ""Ecommerce Order #1832""}"
pay_RZP_2548511,order_ORD_765095,164715,INR,failed,card,CARD_EXPIRED,"Card validity expired or month/year invalid",2026-08-20 00:01:45,kavita.deshmukh15@gmail.com,+918432614422,"{""customer"": ""Kavita Deshmukh"", ""campaign"": ""FestiveSale""}"
pay_RZP_8412769,order_ORD_678478,400402,INR,failed,card,AUTHENTICATION_FAILED,"Incorrect OTP entered by customer",2026-08-18 16:28:25,kavita.sharma24@gmail.com,+919967906665,"{""customer"": ""Kavita Sharma"", ""campaign"": ""FestiveSale""}"
pay_RZP_3484601,order_ORD_550664,311550,INR,captured,netbanking,,,2026-08-18 17:39:45,vikram.verma49@yahoo.in,+917171347175,"{""product"": ""Ecommerce Order #2684""}"
pay_RZP_6933742,order_ORD_918011,220295,INR,captured,upi,,,2026-08-18 11:17:08,divya.kulkarni89@enterprise.co,+917663801533,"{""product"": ""Ecommerce Order #7755""}"
pay_RZP_1415846,order_ORD_288073,521124,INR,failed,card,GATEWAY_TIMEOUT,"Bank network unresponsive during 3DS verification",2026-08-24 23:51:15,amit.kulkarni95@enterprise.co,+918065870178,"{""customer"": ""Amit Kulkarni"", ""campaign"": ""FestiveSale""}"
pay_RZP_1649691,order_ORD_593554,174813,INR,failed,upi,INSUFFICIENT_FUNDS,"Account balance insufficient to complete debit",2026-08-19 12:17:15,ananya.reddy68@yahoo.in,+918310784794,"{""customer"": ""Ananya Reddy"", ""campaign"": ""FestiveSale""}"
pay_RZP_4240180,order_ORD_517821,467235,INR,failed,card,3DS_TIMEOUT,"Customer failed to complete 3DS challenge within 180s",2026-08-21 06:49:52,amit.deshmukh18@yahoo.in,+918508161137,"{""customer"": ""Amit Deshmukh"", ""campaign"": ""FestiveSale""}"
pay_RZP_1463060,order_ORD_220944,323796,INR,failed,card,AUTHENTICATION_FAILED,"Incorrect OTP entered by customer",2026-08-26 13:29:26,rahul.nair84@yahoo.in,+917164313410,"{""customer"": ""Rahul Nair"", ""campaign"": ""FestiveSale""}"
pay_RZP_9580255,order_ORD_221263,326606,INR,failed,card,3DS_TIMEOUT,"Customer failed to complete 3DS challenge within 180s",2026-08-27 14:50:43,suresh.reddy42@gmail.com,+918872852789,"{""customer"": ""Suresh Reddy"", ""campaign"": ""FestiveSale""}"
pay_RZP_7110622,order_ORD_552248,345878,INR,failed,card,CARD_EXPIRED,"Card validity expired or month/year invalid",2026-08-19 05:45:31,rohan.chopra89@yahoo.in,+919849227494,"{""customer"": ""Rohan Chopra"", ""campaign"": ""FestiveSale""}"
pay_RZP_6188935,order_ORD_799287,747129,INR,captured,card,,,2026-08-22 03:31:07,kavita.chopra61@enterprise.co,+918269829408,"{""product"": ""Ecommerce Order #3851""}"
pay_RZP_6049101,order_ORD_525800,338787,INR,failed,card,AUTHENTICATION_FAILED,"Incorrect OTP entered by customer",2026-08-23 09:06:20,divya.sharma48@yahoo.in,+917902727745,"{""customer"": ""Divya Sharma"", ""campaign"": ""FestiveSale""}"
pay_RZP_8411939,order_ORD_563638,551470,INR,failed,netbanking,BANK_UNAVAILABLE,"Netbanking portal undergoing maintenance window",2026-08-24 19:49:10,karan.rao31@enterprise.co,+917364194056,"{""customer"": ""Karan Rao"", ""campaign"": ""FestiveSale""}"
pay_RZP_2566777,order_ORD_958179,548116,INR,captured,netbanking,,,2026-08-27 09:26:37,ananya.singhania38@outlook.com,+917632880459,"{""product"": ""Ecommerce Order #2193""}"
pay_RZP_8640615,order_ORD_534572,770924,INR,captured,upi,,,2026-08-23 16:17:22,siddharth.reddy99@corporate.in,+919123333781,"{""product"": ""Ecommerce Order #2746""}"
pay_RZP_8132769,order_ORD_329471,189716,INR,captured,card,,,2026-08-18 13:15:22,sneha.agarwal16@fintech.org,+918070298438,"{""product"": ""Ecommerce Order #9702""}"
pay_RZP_6323376,order_ORD_891937,209624,INR,failed,card,CARD_EXPIRED,"Card validity expired or month/year invalid",2026-08-20 06:33:16,manish.kulkarni80@corporate.in,+917683577992,"{""customer"": ""Manish Kulkarni"", ""campaign"": ""FestiveSale""}"
pay_RZP_5652512,order_ORD_903013,434913,INR,failed,upi,INSUFFICIENT_FUNDS,"Account balance insufficient to complete debit",2026-08-23 06:44:00,arjun.rao90@outlook.com,+918179387055,"{""customer"": ""Arjun Rao"", ""campaign"": ""FestiveSale""}"
pay_RZP_6634586,order_ORD_435239,274245,INR,captured,upi,,,2026-08-23 20:14:16,divya.patel27@outlook.com,+917993260504,"{""product"": ""Ecommerce Order #7797""}"
pay_RZP_7838382,order_ORD_446954,1192017,INR,failed,netbanking,BANK_UNAVAILABLE,"Netbanking portal undergoing maintenance window",2026-08-19 09:21:08,divya.agarwal63@gmail.com,+917888346940,"{""customer"": ""Divya Agarwal"", ""campaign"": ""FestiveSale""}"
pay_RZP_1327691,order_ORD_998348,332182,INR,failed,upi,UPI_COLLECT_DECLINED,"Customer declined UPI collect request on VPA",2026-08-24 16:17:48,siddharth.bose71@gmail.com,+918510792572,"{""customer"": ""Siddharth Bose"", ""campaign"": ""FestiveSale""}"
pay_RZP_4700025,order_ORD_611945,429679,INR,failed,upi,UPI_COLLECT_DECLINED,"Customer declined UPI collect request on VPA",2026-08-23 18:51:17,ananya.deshmukh65@corporate.in,+917124660666,"{""customer"": ""Ananya Deshmukh"", ""campaign"": ""FestiveSale""}"
pay_RZP_3768991,order_ORD_981334,94012,INR,failed,upi,NETWORK_ERROR,"Gateway connection timed out while contacting acquiring bank",2026-08-18 15:45:39,manish.iyer89@fintech.org,+917115820025,"{""customer"": ""Manish Iyer"", ""campaign"": ""FestiveSale""}"
pay_RZP_8190929,order_ORD_242291,494103,INR,failed,card,AUTHENTICATION_FAILED,"Incorrect OTP entered by customer",2026-08-24 09:28:05,manish.nair16@yahoo.in,+918628238707,"{""customer"": ""Manish Nair"", ""campaign"": ""FestiveSale""}"
pay_RZP_7360682,order_ORD_391773,416860,INR,captured,upi,,,2026-08-20 05:16:44,kavita.deshmukh20@corporate.in,+917083250566,"{""product"": ""Ecommerce Order #2124""}"
pay_RZP_1675419,order_ORD_890870,751878,INR,captured,upi,,,2026-08-26 03:02:28,aarav.gupta35@gmail.com,+919668616333,"{""product"": ""Ecommerce Order #4571""}"
pay_RZP_8801975,order_ORD_833442,188073,INR,failed,upi,ISSUER_BUSY,"Issuer switch overloaded during peak UPI traffic",2026-08-18 02:15:49,rahul.joshi31@fintech.org,+919608108101,"{""customer"": ""Rahul Joshi"", ""campaign"": ""FestiveSale""}"
pay_RZP_2813596,order_ORD_706794,740859,INR,failed,card,GATEWAY_TIMEOUT,"Bank network unresponsive during 3DS verification",2026-08-23 17:00:07,aarav.singhania83@enterprise.co,+918611931113,"{""customer"": ""Aarav Singhania"", ""campaign"": ""FestiveSale""}"
pay_RZP_5074336,order_ORD_206851,650538,INR,failed,card,GATEWAY_TIMEOUT,"Bank network unresponsive during 3DS verification",2026-08-22 08:40:00,pooja.mehta82@gmail.com,+918491228808,"{""customer"": ""Pooja Mehta"", ""campaign"": ""FestiveSale""}"
pay_RZP_6724909,order_ORD_113266,253320,INR,failed,upi,ISSUER_BUSY,"Issuer switch overloaded during peak UPI traffic",2026-08-21 08:13:55,kavita.rao23@corporate.in,+918555585773,"{""customer"": ""Kavita Rao"", ""campaign"": ""FestiveSale""}"
pay_RZP_3955087,order_ORD_869440,481433,INR,failed,netbanking,BANK_UNAVAILABLE,"Netbanking portal undergoing maintenance window",2026-08-23 00:47:35,arjun.deshmukh88@fintech.org,+919076605983,"{""customer"": ""Arjun Deshmukh"", ""campaign"": ""FestiveSale""}"
pay_RZP_6407373,order_ORD_993085,226368,INR,failed,upi,UPI_COLLECT_DECLINED,"Customer declined UPI collect request on VPA",2026-08-20 04:56:02,ananya.patel45@corporate.in,+918047385483,"{""customer"": ""Ananya Patel"", ""campaign"": ""FestiveSale""}"
pay_RZP_1481506,order_ORD_618317,935244,INR,failed,netbanking,BANK_UNAVAILABLE,"Netbanking portal undergoing maintenance window",2026-08-19 17:40:56,amit.nair72@outlook.com,+918523961606,"{""customer"": ""Amit Nair"", ""campaign"": ""FestiveSale""}"
pay_RZP_5635017,order_ORD_682789,1279326,INR,failed,card,FRAUD_SUSPECTED,"High-velocity risk rule triggered by risk engine",2026-08-22 19:09:39,aarav.reddy20@outlook.com,+918745595491,"{""customer"": ""Aarav Reddy"", ""campaign"": ""FestiveSale""}"
pay_RZP_8519121,order_ORD_931450,659705,INR,captured,card,,,2026-08-20 18:52:42,aarav.patel47@outlook.com,+918736889606,"{""product"": ""Ecommerce Order #8753""}"
pay_RZP_9907391,order_ORD_460455,176416,INR,captured,netbanking,,,2026-08-24 22:52:38,kavita.chopra55@enterprise.co,+918948821078,"{""product"": ""Ecommerce Order #4155""}"
pay_RZP_6294016,order_ORD_225362,745780,INR,failed,card,3DS_TIMEOUT,"Customer failed to complete 3DS challenge within 180s",2026-08-24 21:33:03,divya.nair34@outlook.com,+919079617090,"{""customer"": ""Divya Nair"", ""campaign"": ""FestiveSale""}"
pay_RZP_5747930,order_ORD_205409,168818,INR,failed,upi,ISSUER_BUSY,"Issuer switch overloaded during peak UPI traffic",2026-08-24 15:25:42,karan.singhania39@yahoo.in,+917770695571,"{""customer"": ""Karan Singhania"", ""campaign"": ""FestiveSale""}"
pay_RZP_1763626,order_ORD_157174,350974,INR,failed,upi,NETWORK_ERROR,"Gateway connection timed out while contacting acquiring bank",2026-08-19 00:54:02,divya.singhania99@outlook.com,+919739629302,"{""customer"": ""Divya Singhania"", ""campaign"": ""FestiveSale""}"
